--- StartTestVectorGpuSum Report ---
VectorGpu._size = 1000000
blocksNum; threadsNum; Status; Result; Time_mks
16; 4; 1; 1000; 1349
16; 5; 1; 1000; 1338
16; 6; 1; 1000; 841
16; 7; 1; 1000; 717
16; 8; 1; 1000; 730
16; 9; 1; 1000; 690
16; 10; 1; 1000; 795
16; 11; 1; 1000; 747
16; 12; 1; 1000; 770
16; 13; 1; 1000; 779
16; 14; 1; 1000; 785
16; 15; 1; 1000; 1908
16; 16; 1; 1000; 914
16; 17; 1; 1000; 789
16; 18; 1; 1000; 804
16; 19; 1; 1000; 849
16; 20; 1; 1000; 877
17; 1; 1; 1000; 3129
17; 2; 1; 1000; 1711
17; 3; 1; 1000; 1211
17; 4; 1; 1000; 1081
17; 5; 1; 1000; 830
17; 6; 1; 1000; 834
17; 7; 1; 1000; 841
17; 8; 1; 1000; 747
17; 9; 1; 1000; 776
17; 10; 1; 1000; 916
17; 11; 1; 1000; 1092
17; 12; 1; 1000; 792
17; 13; 1; 1000; 749
17; 14; 1; 1000; 792
17; 15; 1; 1000; 790
17; 16; 1; 1000; 771
17; 17; 1; 1000; 781
17; 18; 1; 1000; 809
17; 19; 1; 1000; 819
17; 20; 1; 1000; 882
18; 1; 1; 1000; 3065
18; 2; 1; 1000; 2089
18; 3; 1; 1000; 1194
18; 4; 1; 1000; 898
18; 5; 1; 1000; 818
18; 6; 1; 1000; 740
18; 7; 1; 1000; 666
18; 8; 1; 1000; 679
18; 9; 1; 1000; 670
18; 10; 1; 1000; 932
18; 11; 1; 1000; 850
18; 12; 1; 1000; 777
18; 13; 1; 1000; 962
18; 14; 1; 1000; 795
18; 15; 1; 1000; 792
18; 16; 1; 1000; 777
18; 17; 1; 1000; 1384
18; 18; 1; 1000; 810
18; 19; 1; 1000; 796
18; 20; 1; 1000; 833
19; 1; 1; 1000; 2820
19; 2; 1; 1000; 1526
19; 3; 1; 1000; 1122
19; 4; 1; 1000; 1164
19; 5; 1; 1000; 1028
19; 6; 1; 1000; 783
19; 7; 1; 1000; 707
19; 8; 1; 1000; 685
19; 9; 1; 1000; 713
19; 10; 1; 1000; 717
19; 11; 1; 1000; 686
19; 12; 1; 1000; 745
19; 13; 1; 1000; 767
19; 14; 1; 1000; 774
19; 15; 1; 1000; 756
19; 16; 1; 1000; 1044
19; 17; 1; 1000; 819
19; 18; 1; 1000; 849
19; 19; 1; 1000; 1757
19; 20; 1; 1000; 867
20; 1; 1; 1000; 2767
20; 2; 1; 1000; 1534
20; 3; 1; 1000; 1074
20; 4; 1; 1000; 869
20; 5; 1; 1000; 755
20; 6; 1; 1000; 755
20; 7; 1; 1000; 698
20; 8; 1; 1000; 714
20; 9; 1; 1000; 703
20; 10; 1; 1000; 694
20; 11; 1; 1000; 1200
20; 12; 1; 1000; 832
20; 13; 1; 1000; 738
20; 14; 1; 1000; 1100
20; 15; 1; 1000; 1021
20; 16; 1; 1000; 846
20; 17; 1; 1000; 773
20; 18; 1; 1000; 813
20; 19; 1; 1000; 755
20; 20; 1; 1000; 835
VectorGpu._size = 2000000
blocksNum; threadsNum; Status; Result; Time_mks
1; 1; 1; 2000; 91401
1; 2; 1; 2000; 47210
1; 3; 1; 2000; 31738
1; 4; 1; 2000; 24195
1; 5; 1; 2000; 19717
1; 6; 1; 2000; 15959
1; 7; 1; 2000; 13830
1; 8; 1; 2000; 13208
1; 9; 1; 2000; 11375
1; 10; 1; 2000; 10709
1; 11; 1; 2000; 9398
1; 12; 1; 2000; 8541
1; 13; 1; 2000; 8157
1; 14; 1; 2000; 7499
1; 15; 1; 2000; 6893
1; 16; 1; 2000; 7562
1; 17; 1; 2000; 6437
1; 18; 1; 2000; 6110
1; 19; 1; 2000; 5920
1; 20; 1; 2000; 6086
2; 1; 1; 2000; 47250
2; 2; 1; 2000; 23856
2; 3; 1; 2000; 16015
2; 4; 1; 2000; 12490
2; 5; 1; 2000; 9974
2; 6; 1; 2000; 8658
2; 7; 1; 2000; 7333
2; 8; 1; 2000; 6703
2; 9; 1; 2000; 5829
2; 10; 1; 2000; 5611
2; 11; 1; 2000; 5062
2; 12; 1; 2000; 4655
2; 13; 1; 2000; 4345
2; 14; 1; 2000; 4408
2; 15; 1; 2000; 4213
2; 16; 1; 2000; 3847
2; 17; 1; 2000; 3467
2; 18; 1; 2000; 3383
2; 19; 1; 2000; 3361
2; 20; 1; 2000; 3260
3; 1; 1; 2000; 31715
3; 2; 1; 2000; 15925
3; 3; 1; 2000; 10923
3; 4; 1; 2000; 8106
3; 5; 1; 2000; 7682
3; 6; 1; 2000; 5739
3; 7; 1; 2000; 4874
3; 8; 1; 2000; 5237
3; 9; 1; 2000; 4145
3; 10; 1; 2000; 3715
3; 11; 1; 2000; 3436
3; 12; 1; 2000; 3395
3; 13; 1; 2000; 3138
3; 14; 1; 2000; 2829
3; 15; 1; 2000; 2716
3; 16; 1; 2000; 2634
3; 17; 1; 2000; 2894
3; 18; 1; 2000; 2445
3; 19; 1; 2000; 2451
3; 20; 1; 2000; 2244
4; 1; 1; 2000; 24077
4; 2; 1; 2000; 12261
4; 3; 1; 2000; 8095
4; 4; 1; 2000; 6206
4; 5; 1; 2000; 5195
4; 6; 1; 2000; 4660
4; 7; 1; 2000; 4204
4; 8; 1; 2000; 3532
4; 9; 1; 2000; 4225
4; 10; 1; 2000; 3094
4; 11; 1; 2000; 2844
4; 12; 1; 2000; 2781
4; 13; 1; 2000; 2623
4; 14; 1; 2000; 2811
4; 15; 1; 2000; 2266
4; 16; 1; 2000; 2231
4; 17; 1; 2000; 2215
4; 18; 1; 2000; 3001
4; 19; 1; 2000; 2355
4; 20; 1; 2000; 2450
5; 1; 1; 2000; 19133
5; 2; 1; 2000; 9660
5; 3; 1; 2000; 6885
5; 4; 1; 2000; 5171
5; 5; 1; 2000; 4544
5; 6; 1; 2000; 3601
5; 7; 1; 2000; 3177
5; 8; 1; 2000; 4383
5; 9; 1; 2000; 2668
5; 10; 1; 2000; 2503
5; 11; 1; 2000; 2366
5; 12; 1; 2000; 2118
5; 13; 1; 2000; 5450
5; 14; 1; 2000; 2101
5; 15; 1; 2000; 1944
5; 16; 1; 2000; 1976
5; 17; 1; 2000; 1974
5; 18; 1; 2000; 1923
5; 19; 1; 2000; 4136
5; 20; 1; 2000; 2330
6; 1; 1; 2000; 16095
6; 2; 1; 2000; 8144
6; 3; 1; 2000; 5613
6; 4; 1; 2000; 4334
6; 5; 1; 2000; 3589
6; 6; 1; 2000; 3153
6; 7; 1; 2000; 4049
6; 8; 1; 2000; 2586
6; 9; 1; 2000; 2550
6; 10; 1; 2000; 2241
6; 11; 1; 2000; 2030
6; 12; 1; 2000; 1970
6; 13; 1; 2000; 3470
6; 14; 1; 2000; 1855
6; 15; 1; 2000; 1802
6; 16; 1; 2000; 1820
6; 17; 1; 2000; 1759
6; 18; 1; 2000; 1764
6; 19; 1; 2000; 1714
6; 20; 1; 2000; 4482
7; 1; 1; 2000; 13707
7; 2; 1; 2000; 7040
7; 3; 1; 2000; 4749
7; 4; 1; 2000; 4227
7; 5; 1; 2000; 3393
7; 6; 1; 2000; 2786
7; 7; 1; 2000; 2406
7; 8; 1; 2000; 2186
7; 9; 1; 2000; 1962
7; 10; 1; 2000; 2961
7; 11; 1; 2000; 1927
7; 12; 1; 2000; 1916
7; 13; 1; 2000; 1793
7; 14; 1; 2000; 1697
7; 15; 1; 2000; 1670
7; 16; 1; 2000; 1629
7; 17; 1; 2000; 1641
7; 18; 1; 2000; 3318
7; 19; 1; 2000; 1691
7; 20; 1; 2000; 1671
8; 1; 1; 2000; 12127
8; 2; 1; 2000; 6143
8; 3; 1; 2000; 4241
8; 4; 1; 2000; 3363
8; 5; 1; 2000; 3011
8; 6; 1; 2000; 2454
8; 7; 1; 2000; 2157
8; 8; 1; 2000; 1927
8; 9; 1; 2000; 1791
8; 10; 1; 2000; 1769
8; 11; 1; 2000; 1811
8; 12; 1; 2000; 1719
8; 13; 1; 2000; 1644
8; 14; 1; 2000; 1549
8; 15; 1; 2000; 1504
8; 16; 1; 2000; 1516
8; 17; 1; 2000; 1466
8; 18; 1; 2000; 1663
8; 19; 1; 2000; 1854
8; 20; 1; 2000; 1717
9; 1; 1; 2000; 10681
9; 2; 1; 2000; 5539
9; 3; 1; 2000; 3875
9; 4; 1; 2000; 2958
9; 5; 1; 2000; 2546
9; 6; 1; 2000; 3041
9; 7; 1; 2000; 1997
